Numero Ticket;ItemID;Item;Fecha Creacion;Fecha Termino;Service Desk;Fecha Cierre;Resumen;Ubicacion;Modo Reporte;Estado;Prioridad
WO0000005201555;121;INODORO FLUXOMETRO;2024-05-04;06-05-24;Zona Sur;09/05/2024;REVISAR;LA FONTANA - 193054;Web HD;Cerrado;3
WO0000005201903;108;FOCO FLOURESCENTES;2024-05-04;05-05-24;Zona Norte;08/05/2024;CAMBIAR;DIAGONAL - 285003;Web HD;Cerrado;3
WO0000005200489;93;ESCRITORIO CERRADURA;2024-05-04;07-05-24;Zona Centro;10/05/2024;APERTURAR;TUPAC AMARU - 191038;Web HD;Cerrado;3
WO0000005201584;256;URINARIO FLUXOMETRO;2024-05-04;04-05-24;Zona Centro;07/05/2024;REVISAR;UNIPLAZA - 191019;Web HD;Cerrado;3
WO0000005201907;106;FOCO AHORRADOR;2024-05-04;05-05-24;Zona Norte;08/05/2024;CAMBIAR;DIAGONAL - 285003;Web HD;Cerrado;3
WO0000005200764;15;ATM;2024-05-04;06-05-24;Zona Sur;09/05/2024;REVISAR;MOLICENTRO - 193004;Web HD;Cerrado;3
WO0000005201566;43;CAJONERA CERRADURA;2024-05-04;04-05-24;Zona Centro;07/05/2024;APERTURAR;PRO - 191029;Web HD;Cerrado;3
WO0000005201950;57;CONTADOR DE MONEDAS;2024-05-04;08-05-24;Zona Centro;11/05/2024;REPARAR;SANTA LUZMILA - 191063;Web HD;Cerrado;3
WO0000005201121;65;CREDENZA CERRADURA;2024-05-04;04-05-24;Zona Sur;07/05/2024;REEMPLAZAR;LOS RUISE ORES - 191115;Web HD;Cerrado;3
WO0000005201118;65;CREDENZA CERRADURA;2024-05-04;04-05-24;Zona Sur;07/05/2024;REEMPLAZAR;LOS RUISE ORES - 191115;Web HD;Cerrado;3
WO0000005201599;31;CAJA / TAPA DE PASO;2024-05-04;04-05-24;Zona Norte;07/05/2024;REVISAR;LA NEGRITA - 215004;Web HD;Cerrado;3
WO0000005201564;65;CREDENZA CERRADURA;2024-05-04;04-05-24;Zona Centro;07/05/2024;REEMPLAZAR;PRO - 191029;Web HD;Cerrado;3
WO0000005202430;123;INODOROS;2024-05-04;06-05-24;Zona Sur;09/05/2024;REVISAR;VITARTE - 191043;Web HD;Cerrado;3
WO0000005200725;241;TECHO /BALDOSAS FILTRACION;2024-05-04;05-05-24;Zona Centro;08/05/2024;CAMBIAR;SAN JUAN DE LURIGANCHO - 191017;Web HD;Cerrado;3
WO0000005200738;94;ESTACION MANUAL;2024-05-04;07-05-24;Zona Norte;10/05/2024;REPARAR;MALL AVENTURA PLAZA AREQUIPA - 215011;Web HD;Cerrado;3
WO0000005201572;171;PISOS;2024-05-04;22-05-24;Zona Norte;22/05/2024;RESANAR;TOWN SITE - 385001;Web HD;Terminado;3
WO0000005201178;6;ALFOMBRAS;2024-05-04;06-05-24;Zona Centro;09/05/2024;REPARAR;PROCERES - 191120;Web HD;Cerrado;3
WO0000005201180;6;ALFOMBRAS;2024-05-04;06-05-24;Zona Centro;09/05/2024;REPARAR;SAN JUAN DE LURIGANCHO - 191017;Web HD;Cerrado;3
WO0000005201175;6;ALFOMBRAS;2024-05-04;06-05-24;Zona Centro;09/05/2024;REPARAR;METRO AV. WIESSE - 191106;Web HD;Cerrado;3
WO0000005201176;6;ALFOMBRAS;2024-05-04;06-05-24;Zona Centro;09/05/2024;REPARAR;NAYLAMP - 191143;Web HD;Cerrado;3
WO0000005201598;221;SILLAS;2024-05-04;04-05-24;Zona Norte;07/05/2024;REPARAR;MALL AVENTURA PLAZA AREQUIPA - 215011;Web HD;Cerrado;3
WO0000005200727;154;OFICINA;2024-05-04;20-05-24;Zona Centro;23/05/2024;FUMIGAR;ZARATE - 191097;Web HD;Cerrado;3
WO0000005201182;6;ALFOMBRAS;2024-05-04;06-05-24;Zona Centro;09/05/2024;REPARAR;ZARATE - 191097;Web HD;Cerrado;3
WO0000005201187;6;ALFOMBRAS;2024-05-04;06-05-24;Zona Centro;09/05/2024;REPARAR;CANTO GRANDE - 191096;Web HD;Cerrado;3
WO0000005201534;69;DETECTOR DE BILLETES;2024-05-04;04-05-24;Zona Sur;07/05/2024;REPARAR;PURUCHUCO - 191020;Web HD;Cerrado;3
WO0000005200772;22;BOVEDA;2024-05-04;;Zona Centro;;APERTURAR;NARANJAL - 191141;Web HD;Rechazado;3
WO0000005201540;69;DETECTOR DE BILLETES;2024-05-04;04-05-24;Zona Sur;07/05/2024;REPARAR;PURUCHUCO - 191020;Web HD;Cerrado;3
WO0000005201535;69;DETECTOR DE BILLETES;2024-05-04;04-05-24;Zona Sur;07/05/2024;REPARAR;PURUCHUCO - 191020;Web HD;Cerrado;3
WO0000005203411;79;DVR;2024-05-04;06-05-24;Zona Norte;09/05/2024;REPARAR;SAN ROMAN - 405003;Web HD;Cerrado;3
WO0000005201173;6;ALFOMBRAS;2024-05-04;06-05-24;Zona Centro;09/05/2024;REPARAR;EL SOL - 191082;Web HD;Cerrado;3
WO0000005201919;34;CAJA FUERTE;2024-05-04;;Zona Centro;;REPROGRAMAR;LA PAMPILLA - 192012;Web HD;Rechazado;3
WO0000005203410;44;CAMARA CONVENCIONAL;2024-05-04;08-05-24;Zona Sur;11/05/2024;REPARAR;AYACUCHO - 220000;Web HD;Cerrado;3
WO0000005201568;43;CAJONERA CERRADURA;2024-05-04;04-05-24;Zona Centro;07/05/2024;REEMPLAZAR;PRO - 191029;Web HD;Cerrado;3
WO0000005201904;249;TOMACORRIENTES;2024-05-04;05-05-24;Zona Norte;08/05/2024;REVISAR;DIAGONAL - 285003;Web HD;Cerrado;3
WO0000005200708;53;COMEDOR;2024-05-04;21-05-24;Zona Centro;24/05/2024;FUMIGAR;LAS MALVINAS - 191076;Web HD;Cerrado;3
WO0000005201559;11;ARMARIO CERRADURA;2024-05-04;04-05-24;Zona Centro;07/05/2024;REEMPLAZAR;PRO - 191029;Web HD;Cerrado;3
WO0000005201543;154;OFICINA;2024-05-04;11-05-24;Zona Sur;14/05/2024;FUMIGAR;COLONIAL - 192035;Web HD;Cerrado;3
WO0000005201909;106;FOCO AHORRADOR;2024-05-04;05-05-24;Zona Norte;08/05/2024;REVISAR;DIAGONAL - 285003;Web HD;Cerrado;3
WO0000005202429;21;BOMBAS DE AGUA;2024-05-04;13-05-24;Zona Sur;16/05/2024;REVISAR;VITARTE - 191043;Web HD;Cerrado;3
WO0000005201562;43;CAJONERA CERRADURA;2024-05-04;04-05-24;Zona Centro;07/05/2024;REEMPLAZAR;PRO - 191029;Web HD;Cerrado;3
WO0000005201181;6;ALFOMBRAS;2024-05-04;06-05-24;Zona Centro;09/05/2024;REPARAR;TUSILAGOS - 191108;Web HD;Cerrado;3
WO0000005201900;111;GRIFERIA;2024-05-04;04-05-24;Zona Norte;07/05/2024;REVISAR;LA NEGRITA - 215004;Web HD;Cerrado;3
